City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,murray bridge,-35.1167,139.2667,284.33,73,13,3.62,AU,1686679498
352,carutapera,-1.195,-46.02,302.25,70,61,4.62,BR,1686679621
353,flying fish cove,-10.4217,105.6791,298.97,88,100,5.14,CX,1686679622
354,omutinskiy,56.4745,67.6709,282.21,56,19,3.57,RU,1686679417
355,puerto san jose,13.9256,-90.8244,303.55,72,100,2.97,GT,1686679622
356,nadym,65.5333,72.5167,282.52,70,88,2.95,RU,1686679623
357,qom,34.6401,50.8764,307.02,18,30,1.82,IR,1686679246
358,sao tome,0.3365,6.7273,299.16,80,84,3.86,ST,1686679623
359,al jawf,29.5,38.75,302.3,26,4,7.11,SA,1686679624
360,toamasina,-18.1667,49.3833,295.46,87,0,3.83,MG,1686679625
361,levuka,50.1834,-105.4011,301.02,28,93,2.48,CA,1686679625
362,kendari,-3.945,122.4989,296.22,95,99,1.33,ID,1686679626
